Date,NumericDeliveryMonth,Open,High,Low,Close,Volume,OI,TotalVolume,TotalOI,ExpiryDate,ContractSize,PointValue,Nearest1,ExpiryDate1,Open1,High1,Low1,Close1,Volume1,OI1,Nearest2,ExpiryDate2,Open2,High2,Low2,Close2,Volume2,OI2,Nearest3,ExpiryDate3,Open3,High3,Low3,Close3,Volume3,OI3,Nearest4,ExpiryDate4,Open4,High4,Low4,Close4,Volume4,OI4,Nearest5,ExpiryDate5,Open5,High5,Low5,Close5,Volume5,OI5
19910401,199105,171,191.5,169.5,189,19763,35297,54930,108107,19910521,5000bu,$6.25,199105,19910521,580.5,601,579,598.5,98815,176485,199107,19910722,593,612,592,611.5,136440,202215,199108,19910821,599.25,618,598.25,617,2540,26555,199109,19910919,605.75,622,604.5,622,1685,27490,199111,19911119,616.25,631,615,630.5,34225,87900
19910402,199105,188,189.5,182.5,185,11053,33650,33963,106463,19910521,5000bu,$6.25,199105,19910521,597.5,599,592,594.5,55265,168250,199107,19910722,610.13,611.5,604.5,606.5,82905,199615,199108,19910821,614.5,616.5,609.5,611,4610,26920,199109,19910919,619.5,621,615.5,616,2345,26265,199111,19911119,629.25,632.25,625.5,627.5,23065,90925
19910403,199105,184.75,191,175.5,177.5,11528,33412,35711,107652,19910521,5000bu,$6.25,199105,19910521,594.25,600.5,585,587,57640,167060,199107,19910722,607,613.25,600.5,601.25,96740,203700,199108,19910821,611.75,618.5,606,606.25,2395,27310,199109,19910919,617.25,622,611,611.25,1315,26035,199111,19911119,627.75,633,622.5,623,18360,92945
19910404,199105,179.75,181.5,174.25,175.75,8115,32683,30075,106563,19910521,5000bu,$6.25,199105,19910521,589.25,591,583.75,585.25,40575,163415,199107,19910722,601.5,603.75,596.25,597.75,81205,202365,199108,19910821,607,608.25,601.75,602.75,1985,27560,199109,19910919,611.63,613.25,606.5,607.5,620,26030,199111,19911119,623.5,624,616.75,618.25,24890,91905
19910405,199105,176.38,180.5,175.25,179.25,5812,32572,21750,107179,19910521,5000bu,$6.25,199105,19910521,585.88,590,584.75,588.75,29060,162860,199107,19910722,598.88,602.25,597,601.5,63445,203050,199108,19910821,604,607,602.5,606,810,27300,199109,19910919,608.5,611.5,607.5,610,525,26060,199111,19911119,621,621.75,617,621,13155,94250
19910408,199105,181,186.5,180.5,181,8019,32446,26901,107907,19910521,5000bu,$6.25,199105,19910521,590.5,596,590,590.5,40095,162230,199107,19910722,602.75,609,602,603.5,75730,207240,199108,19910821,607.63,613.5,607.5,607.75,2245,27050,199109,19910919,613.13,617.5,612,612.5,1705,26120,199111,19911119,622.75,627.5,622,622.5,14010,94250
19910409,199105,178.25,179,171,172.25,9504,31249,34007,107330,19910521,5000bu,$6.25,199105,19910521,587.75,588.5,580.5,581.75,47520,156245,199107,19910722,600.75,601.5,593,594.5,94840,206675,199108,19910821,605.5,605.5,598,599.25,4165,27310,199109,19910919,610.63,610.75,603,603,1485,26250,199111,19911119,620.25,620.5,612.5,614,19530,96255
19910410,199105,175.25,177.5,173,177,6726,31105,22488,107392,19910521,5000bu,$6.25,199105,19910521,584.75,587,582.5,586.5,33630,155525,199107,19910722,597,599.25,595,599,59785,206830,199108,19910821,602.25,604,600.25,604,2195,27265,199109,19910919,607.25,608,605,607.75,1915,26695,199111,19911119,616.5,618,614.5,617.75,13155,96920
19910411,199105,173.25,182.5,170,179.25,12849,29649,43815,107871,19910521,5000bu,$6.25,199105,19910521,582.75,592,579.5,588.75,64245,148245,199107,19910722,595.5,603,591.5,599.5,127075,214955,199108,19910821,600.5,607.5,597,605.5,2995,28400,199109,19910919,605,611.5,602,608.75,1200,26865,199111,19911119,614.75,622,611,618,22665,97520
19910412,199105,181.88,183.5,176.25,178.25,10272,27781,30200,106147,19910521,5000bu,$6.25,199105,19910521,591.38,593,585.75,587.75,51360,138905,199107,19910722,602.25,604.5,596.75,599.75,79790,214605,199108,19910821,606.25,608.5,601.75,604.5,1930,28825,199109,19910919,612.25,612.5,606,608,2130,27325,199111,19911119,620.5,622,615.25,618,15455,97600
19910415,199105,181,183.5,175.5,176.25,5905,26773,22542,105253,19910521,5000bu,$6.25,199105,19910521,590.5,593,585,585.75,29525,133865,199107,19910722,602.75,605,597,597.75,68135,215525,199108,19910821,606.75,609,602.25,602.5,2005,28585,199109,19910919,610.25,612.25,605.5,605.5,870,27275,199111,19911119,619.25,621.5,615,615.25,11865,97635
19910416,199105,175.38,181.25,175.25,179.5,6627,26020,25956,106299,19910521,5000bu,$6.25,199105,19910521,584.88,590.75,584.75,589,33135,130100,199107,19910722,597,603,596.5,602,80270,223395,199108,19910821,601.5,607.25,601.5,605.5,920,28810,199109,19910919,605.25,611,605,609.5,1105,27465,199111,19911119,614.25,620.25,614,619,13585,97990
19910417,199105,182.25,183.5,172.5,172.75,8823,25241,35960,106959,19910521,5000bu,$6.25,199105,19910521,591.75,593,582,582.25,44115,126205,199107,19910722,604.5,606,593.5,594,108045,226310,199108,19910821,609,610,599,599.5,2800,29380,199109,19910919,611.25,614,601,601,1190,27750,199111,19911119,621,623.25,611.5,612,23205,101200
19910418,199105,173.13,174.25,170.75,172.5,7369,25528,25480,107016,19910521,5000bu,$6.25,199105,19910521,582.63,583.75,580.25,582,36845,127640,199107,19910722,595,596,592,594.5,69085,224685,199108,19910821,600.25,600.5,597.75,599,2585,29950,199109,19910919,603.5,604.5,601.5,603,925,28160,199111,19911119,613.25,614,610.5,612.25,16425,100930
19910419,199105,173,181.5,172,180.75,7939,25504,32685,108412,19910521,5000bu,$6.25,199105,19910521,582.5,591,581.5,590.25,39695,127520,199107,19910722,595.5,604.5,594.25,603.75,95750,230575,199108,19910821,600.75,608.5,599.5,608.5,1580,29425,199109,19910919,605.13,612.5,603,612.25,2910,28655,199111,19911119,615,622,612.25,621.25,22950,102175
19910422,199105,181.5,184,174,174.25,10248,23755,46172,107432,19910521,5000bu,$6.25,199105,19910521,591,593.5,583.5,583.75,51240,118775,199107,19910722,604.5,606.5,596.25,596.75,143465,232765,199108,19910821,609.75,611,601,601,1780,29750,199109,19910919,613.88,614.5,605.5,606,1740,28335,199111,19911119,621.75,624,614,614.75,31585,103885
19910423,199105,174,184.5,173.5,183.75,12324,21508,46183,108358,19910521,5000bu,$6.25,199105,19910521,583.5,594,583,593.25,61620,107540,199107,19910722,596.5,606,595.75,605.5,131845,245120,199108,19910821,600.75,611.25,600.5,610.75,6060,30560,199109,19910919,604.63,613.5,604.5,613.25,1655,28615,199111,19911119,614.25,622.5,613.75,622.25,26495,105580
19910424,199105,187.25,188.5,178.5,183.5,11331,21348,57450,109418,19910521,5000bu,$6.25,199105,19910521,596.75,598,588,593,56655,106740,199107,19910722,609.5,610.5,600,606.25,188500,247735,199108,19910821,613.63,614.75,606,611.25,6745,31070,199109,19910919,616.5,617,609,612.5,3235,28380,199111,19911119,624.25,625,617,621.25,29580,107845
19910425,199105,183.75,186.25,181.25,182.25,9174,19201,33610,108433,19910521,5000bu,$6.25,199105,19910521,593.25,595.75,590.75,591.75,45870,96005,199107,19910722,605.5,608.5,603,604.5,98035,252965,199108,19910821,609.75,613.25,608,610,2455,31605,199109,19910919,612.25,614.75,610,610.75,980,28780,199111,19911119,619.5,622.5,618.25,619,18290,107165
19910426,199105,182.38,186.5,180.75,182,8859,17373,30836,107702,19910521,5000bu,$6.25,199105,19910521,591.88,596,590.25,591.5,44295,86865,199107,19910722,604,608,602.75,603.75,86460,257505,199108,19910821,608.75,612.75,608,609.25,2600,32180,199109,19910919,611.38,614.5,610,610.5,1990,28460,199111,19911119,619.25,622.75,618,619,15765,107015
19910429,199105,179.25,180,167,167.25,14868,11982,70698,103945,19910521,5000bu,$6.25,199105,19910521,588.75,589.5,576.5,576.75,74340,59910,199107,19910722,601,601.5,588.25,588.75,216690,269535,199108,19910821,605.63,606.25,593,594,11005,31395,199109,19910919,608.75,609,595.5,595.75,4765,27140,199111,19911119,616.5,617.25,605,605.5,44990,105680
