,index,Close1,rollover,dailyret,Soybean.price,hs,carry,b,Adjusted b
0,1991-04-02,594.5,0.0,-0.0066833751044277,598.5,-1.0,0.0497843247574719,,-0.273597567493735
1,1991-04-03,587.0,0.0,-0.0126156433978133,594.5,-1.0,0.0959314550042052,,-0.273597567493735
2,1991-04-04,585.25,0.0,-0.0029812606473594,587.0,-1.0,0.0231523433252386,,-0.273597567493735
3,1991-04-05,588.75,0.0,0.0059803502776591,585.25,-1.0,-0.0474527793770784,,-0.273597567493735
4,1991-04-08,590.5,0.0,0.0029723991507431,588.75,-1.0,-0.0252308300004937,,-0.273597567493735
5,1991-04-09,581.75,0.0,-0.0148179508890771,590.5,-1.0,0.128775049393169,,-0.273597567493735
6,1991-04-10,586.5,0.0,0.0081650193382037,581.75,-1.0,-0.0726885867913255,,-0.273597567493735
7,1991-04-11,588.75,0.0,0.0038363171355498,586.5,-1.0,-0.0350063938618917,,-0.273597567493735
8,1991-04-12,587.75,0.0,-0.0016985138004246,588.75,-1.0,0.0158963471065382,,-0.273597567493735
9,1991-04-15,585.75,0.0,-0.0034028073160357,587.75,-1.0,0.0345006852875842,-0.273597567493735,-0.273597567493735
10,1991-04-16,589.0,0.0,0.0055484421681604,585.75,-1.0,-0.0578623254679586,,-0.205963398149111
11,1991-04-17,582.25,0.0,-0.0114601018675722,589.0,-1.0,0.123027564166584,,-0.205963398149111
12,1991-04-18,582.0,0.0,-0.0004293688278231,582.25,-1.0,0.0047490794592552,,-0.205963398149111
13,1991-04-19,590.25,0.0,0.0141752577319588,582.0,-1.0,-0.161686533505154,,-0.205963398149111
14,1991-04-22,583.75,0.0,-0.0110122829309615,590.25,-1.0,0.138602871372446,,-0.205963398149111
15,1991-04-23,593.25,0.0,0.0162740899357602,583.75,-1.0,-0.212144386662587,,-0.205963398149111
16,1991-04-24,593.0,0.0,-0.0004214075010535,593.25,-1.0,0.0056968051068353,,-0.205963398149111
17,1991-04-25,591.75,0.0,-0.0021079258010118,593.0,-1.0,0.0295920352834352,,-0.205963398149111
18,1991-04-26,591.5,0.0,-0.0004224757076468,591.75,-1.0,0.0061681453316442,,-0.205963398149111
19,1991-04-29,576.75,0.0,-0.0249366018596788,591.5,-1.0,0.413720894490126,,-0.205963398149111
20,1991-04-30,576.5,0.0,-0.000433463372345,576.75,-1.0,0.0075340062336166,-0.205963398149111,-0.205963398149111
21,1991-05-01,580.75,0.0,0.0073720728534258,576.5,-1.0,-0.134540329575023,,-0.14804837507881
